relative_path,status,before_bytes,after_bytes,started_at,finished_at,error
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_48_60_003.mp4",success,3494724,2260975,"2026-08-16T22:39:02.5585272+07:00","2026-08-16T22:39:05.4094180+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_48_60_004.mp4",success,3105249,1555246,"2026-08-16T22:39:05.4114210+07:00","2026-08-16T22:39:07.3649110+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_48_60_005.mp4",success,12530389,1820973,"2026-08-16T22:39:07.3659321+07:00","2026-08-16T22:39:09.5486081+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_48_60_006.mp4",success,8960224,4241985,"2026-08-16T22:39:09.5508377+07:00","2026-08-16T22:39:16.3030549+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_48_60_007.mp4",success,3390996,2017376,"2026-08-16T22:39:16.3040859+07:00","2026-08-16T22:39:19.2027789+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_48_60_008.mp4",success,14330767,3297027,"2026-08-16T22:39:19.2053821+07:00","2026-08-16T22:39:22.7684220+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_48_60_009.mp4",success,14330767,3297027,"2026-08-16T22:39:22.7694408+07:00","2026-08-16T22:39:26.6067427+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_48_60_010.mp4",success,10300294,5151721,"2026-08-16T22:39:26.6087451+07:00","2026-08-16T22:39:34.3285041+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_48_60_011.mp4",success,3105249,1555246,"2026-08-16T22:39:34.3295791+07:00","2026-08-16T22:39:36.6236466+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_48_60_012.mp4",success,8960224,4241985,"2026-08-16T22:39:36.6256490+07:00","2026-08-16T22:39:45.3002173+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_roi_loan_pho_tu_ky_15_23_001.mp4",success,2502614,775920,"2026-08-16T22:39:45.3032385+07:00","2026-08-16T22:39:46.6616524+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_roi_loan_pho_tu_ky_15_23_006.mp4",success,2427340,384622,"2026-08-16T22:39:46.6641650+07:00","2026-08-16T22:39:47.5204931+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_roi_loan_pho_tu_ky_15_23_012.mp4",success,7100378,3294073,"2026-08-16T22:39:47.5229032+07:00","2026-08-16T22:39:51.8610469+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_roi_loan_pho_tu_ky_24_47_002.mp4",success,10563441,3246747,"2026-08-16T22:39:51.8631446+07:00","2026-08-16T22:39:54.8128358+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_15_23_001.mp4",success,9054297,2650264,"2026-08-16T22:39:54.8153414+07:00","2026-08-16T22:39:58.3323955+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_15_23_002.mp4",success,23024119,7962823,"2026-08-16T22:39:58.3355352+07:00","2026-08-16T22:40:10.0240037+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_15_23_003.mp4",success,1437629,1053166,"2026-08-16T22:40:10.0265296+07:00","2026-08-16T22:40:11.2735219+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_15_23_004.mp4",success,1885790,1172642,"2026-08-16T22:40:11.2760379+07:00","2026-08-16T22:40:12.7585196+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_15_23_005.mp4",success,1195271,653186,"2026-08-16T22:40:12.7605333+07:00","2026-08-16T22:40:13.6835558+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_15_23_006.mp4",success,2687370,2016167,"2026-08-16T22:40:13.6850706+07:00","2026-08-16T22:40:16.3349559+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_15_23_007.mp4",success,2646995,1442174,"2026-08-16T22:40:16.3359922+07:00","2026-08-16T22:40:17.8256645+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_15_23_008.mp4",success,2507367,1375912,"2026-08-16T22:40:17.8276743+07:00","2026-08-16T22:40:19.5871256+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_15_23_009.mp4",success,5632951,1268535,"2026-08-16T22:40:19.5891426+07:00","2026-08-16T22:40:21.2529142+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_15_23_010.mp4",success,5764861,1906091,"2026-08-16T22:40:21.2549282+07:00","2026-08-16T22:40:22.9312417+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_15_23_011.mp4",success,5764861,1906091,"2026-08-16T22:40:22.9329748+07:00","2026-08-16T22:40:24.6881556+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_15_23_012.mp4",success,3195844,587830,"2026-08-16T22:40:24.6901801+07:00","2026-08-16T22:40:25.5168934+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_24_47_001.mp4",success,3178185,1635474,"2026-08-16T22:40:25.5191056+07:00","2026-08-16T22:40:27.1139418+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_24_47_002.mp4",success,3188875,1948832,"2026-08-16T22:40:27.1154467+07:00","2026-08-16T22:40:29.7749103+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_24_47_003.mp4",success,27357959,9081479,"2026-08-16T22:40:29.7764400+07:00","2026-08-16T22:40:40.4234958+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_24_47_004.mp4",success,1086860,678292,"2026-08-16T22:40:40.4260441+07:00","2026-08-16T22:40:41.3395723+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_24_47_005.mp4",success,2230778,1061807,"2026-08-16T22:40:41.3410786+07:00","2026-08-16T22:40:42.6509484+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_24_47_006.mp4",success,2280547,1567668,"2026-08-16T22:40:42.6529485+07:00","2026-08-16T22:40:44.6478245+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_24_47_007.mp4",success,1677270,989581,"2026-08-16T22:40:44.6498347+07:00","2026-08-16T22:40:45.8764569+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_24_47_008.mp4",success,14117743,7850922,"2026-08-16T22:40:45.8784487+07:00","2026-08-16T22:40:59.7967236+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_24_47_009.mp4",success,1480637,912174,"2026-08-16T22:40:59.7987304+07:00","2026-08-16T22:41:00.9629938+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_48_60_001.mp4",success,1592880,757164,"2026-08-16T22:41:00.9650849+07:00","2026-08-16T22:41:02.1705144+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_48_60_002.mp4",success,3530379,2153434,"2026-08-16T22:41:02.1727400+07:00","2026-08-16T22:41:05.1348433+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_48_60_003.mp4",success,2025667,1167703,"2026-08-16T22:41:05.1378636+07:00","2026-08-16T22:41:06.9171602+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_48_60_004.mp4",success,1560425,895353,"2026-08-16T22:41:06.9191666+07:00","2026-08-16T22:41:08.3392832+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_48_60_005.mp4",success,1836764,966122,"2026-08-16T22:41:08.3403043+07:00","2026-08-16T22:41:09.8585837+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_48_60_006.mp4",success,13903722,8923196,"2026-08-16T22:41:09.8605820+07:00","2026-08-16T22:41:20.4749714+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_48_60_007.mp4",success,1964382,1080705,"2026-08-16T22:41:20.4764768+07:00","2026-08-16T22:41:22.3476309+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_binh_thuong_48_60_008.mp4",success,4384184,1744780,"2026-08-16T22:41:22.3501185+07:00","2026-08-16T22:41:24.3730603+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_roi_loan_pho_tu_ky_15_23_003.mp4",success,2150492,589804,"2026-08-16T22:41:24.3750688+07:00","2026-08-16T22:41:25.4711788+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_roi_loan_pho_tu_ky_15_23_005.mp4",skipped_small,740311,740311,"2026-08-16T22:41:25.4725025+07:00","2026-08-16T22:41:25.4736242+07:00","Source <= 1 MiB; preserved as already small."
"nhan_thuc/so_sanh_nhan_thuc_roi_loan_pho_tu_ky_15_23_008.mp4",success,2032190,360418,"2026-08-16T22:41:25.4964703+07:00","2026-08-16T22:41:26.0020051+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_roi_loan_pho_tu_ky_15_23_010.mp4",success,3438304,1032899,"2026-08-16T22:41:26.0041313+07:00","2026-08-16T22:41:27.7265742+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_roi_loan_pho_tu_ky_24_47_011.mp4",success,115512302,68361683,"2026-08-16T22:41:27.7285890+07:00","2026-08-16T22:42:41.9727514+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_roi_loan_pho_tu_ky_48_60_012.mp4",success,1948887,632391,"2026-08-16T22:42:41.9752611+07:00","2026-08-16T22:42:42.7150644+07:00",""
"nhan_thuc/so_sanh_nhan_thuc_roi_loan_pho_tu_ky_48_60_013.mp4",success,6341739,3000776,"2026-08-16T22:42:42.7170699+07:00","2026-08-16T22:42:45.1269448+07:00",""
"quan_he_xa_hoi/so_sanh_quan_he_xa_hoi_binh_thuong_15_23_001.mp4",success,4976980,2066993,"2026-08-16T22:42:45.1289447+07:00","2026-08-16T22:42:47.9786492+07:00",""
"quan_he_xa_hoi/so_sanh_quan_he_xa_hoi_binh_thuong_15_23_002.mp4",success,4657358,1269935,"2026-08-16T22:42:47.9806754+07:00","2026-08-16T22:42:49.6164868+07:00",""
"quan_he_xa_hoi/so_sanh_quan_he_xa_hoi_binh_thuong_15_23_004.mp4",success,4214303,2387545,"2026-08-16T22:42:49.6184818+07:00","2026-08-16T22:42:52.9608511+07:00",""
"quan_he_xa_hoi/so_sanh_quan_he_xa_hoi_binh_thuong_15_23_006.mp4",success,1365808,741130,"2026-08-16T22:42:52.9633611+07:00","2026-08-16T22:42:54.2603596+07:00",""
"quan_he_xa_hoi/so_sanh_quan_he_xa_hoi_binh_thuong_15_23_007.mp4",success,17879372,1737697,"2026-08-16T22:42:54.2616358+07:00","2026-08-16T22:42:57.5403626+07:00",""
"quan_he_xa_hoi/so_sanh_quan_he_xa_hoi_binh_thuong_15_23_008.mp4",success,1928794,666485,"2026-08-16T22:42:57.5416940+07:00","2026-08-16T22:42:58.3318476+07:00",""
"quan_he_xa_hoi/so_sanh_quan_he_xa_hoi_binh_thuong_24_47_001.mp4",success,1693843,1236046,"2026-08-16T22:42:58.3329689+07:00","2026-08-16T22:42:59.4086952+07:00",""
